key,Source,english,japanese,german
ui.tooltip.placeTrainCarNoRoute,No rail for the train length,No rail for the train length,列車の長さ分のレールがありません,Kein Gleis für diese Zuglänge
ui.tooltip.placeTrainCarOverlapsTrain,Overlaps an existing train,Overlaps an existing train,既存の列車と重なります,Überschneidet sich mit einem vorhandenen Zug
ui.loading.serverConnected,Connected to server  {p0},Connected to server  {p0},サーバーとの接続完了  {p0},Mit Server verbunden  {p0}
ui.loading.initialDataFetched,Initial data received  {p0},Initial data received  {p0},初期データ取得完了  {p0},Anfangsdaten empfangen  {p0}
ui.loading.blockAssetsLoaded,Block assets loaded  {p0},Block assets loaded  {p0},ブロックアセットロード完了  {p0},Block-Assets geladen  {p0}
ui.loading.itemImagesLoaded,Item images loaded  {p0},Item images loaded  {p0},アイテム画像ロード完了  {p0},Gegenstandsbilder geladen  {p0}
ui.loading.connectToolImagesLoaded,Connect tool images loaded  {p0},Connect tool images loaded  {p0},接続ツール画像ロード完了  {p0},Bilder der Verbindungswerkzeuge geladen  {p0}
ui.loading.fluidImagesLoaded,Fluid images loaded  {p0},Fluid images loaded  {p0},液体画像ロード完了  {p0},Flüssigkeitsbilder geladen  {p0}
ui.loading.blockScreenshotsCaptured,Block screenshots captured  {p0},Block screenshots captured  {p0},ブロックスクリーンショット完了  {p0},Block-Screenshots erstellt  {p0}
ui.loading.trainCarScreenshotsCaptured,Train car screenshots captured  {p0},Train car screenshots captured  {p0},車両スクリーンショット完了  {p0},Waggon-Screenshots erstellt  {p0}
ui.loading.terrainReady,Terrain data ready ({p0} chunks)  {p1},Terrain data ready ({p0} chunks)  {p1},地形データ準備完了({p0}チャンク取得)  {p1},Geländedaten bereit ({p0} Chunks)  {p1}
ui.loading.initializationFailed,Initialization failed. Returning to the main menu.,Initialization failed. Returning to the main menu.,初期化に失敗しました。メインメニューに戻ります。,Initialisierung fehlgeschlagen. Rückkehr zum Hauptmenü.
ui.mainMenu.connectInvalidIp,The IP address is not valid.,The IP address is not valid.,IPアドレスが正しくありません。,Die IP-Adresse ist ungültig.
ui.mainMenu.connectPortTooLarge,The port number must be 65535 or lower.,The port number must be 65535 or lower.,ポート番号は65535以下である必要があります。,Die Portnummer darf höchstens 65535 betragen.
ui.mainMenu.connectPortTooSmall,The port number must be greater than 1024.,The port number must be greater than 1024.,ポート番号は1024より大きい必要があります。,Die Portnummer muss größer als 1024 sein.
ui.mainMenu.connectInvalidPort,The port number is not valid.,The port number is not valid.,ポート番号が正しくありません。,Die Portnummer ist ungültig.
ui.mainMenu.connectFailed,Failed to connect to the server.\n{p0},Failed to connect to the server.\n{p0},サーバーへの接続に失敗しました。\n{p0},Verbindung zum Server fehlgeschlagen.\n{p0}
ui.tooltip.namedMineHold,{p0} : Hold left-click to mine,{p0} : Hold left-click to mine,{p0} : 左クリック長押しで採掘,{p0} : Zum Abbauen Linksklick gedrückt halten
ui.tooltip.namedMineClick,{p0} : Left-click to mine,{p0} : Left-click to mine,{p0} : 左クリックで採掘,{p0} : Linksklick zum Abbauen
ui.tooltip.namedRequiredItems,{p0} : Requires: {p1},{p0} : Requires: {p1},{p0} : このアイテムが必要です: {p1},{p0} : Benötigt: {p1}
ui.tooltip.namedCannotHandMine,{p0} : Cannot be mined by hand,{p0} : Cannot be mined by hand,{p0} : 手掘りできません,{p0} : Kann nicht von Hand abgebaut werden
